Model,PCA,RMSE,MAE,R2
Linear,No PCA,0.09334682436485021,0.0778141937798126,0.8635077372360049
Linear,With PCA,0.1198359877100689,0.09280206469967918,0.7750513158012325
kNN,No PCA,0.09833436157654489,0.08003,0.8485324702368069
kNN,With PCA,0.10035085118390046,0.08215333333333334,0.8422566503439196
RandomForest,No PCA,0.1037189248240969,0.08469033333333333,0.8314902827475013
RandomForest,With PCA,0.10389691357302198,0.08419583333333333,0.8309114381696084
